Date,Close,Open,High,Low,Volume,Change,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist,Return,Roll_Return_20,Roll_Vol_20,Regime,Regime_Bear,Regime_Bull,Regime_Sideways
2025-01-01,117008.08,115258.12,117341.03,114719.89,465170000.0,1.63,,117008.08,117008.08,0.0,0.0,0.0,,,,,False,False,False
2025-01-02,117119.66,117150.31,118367.81,116857.61,383720000.0,0.1,,117025.24615384616,117016.3451851852,8.900968660964281,1.7801937321928565,7.120774928771425,0.0009536093575759352,,,,False,False,False
2025-01-03,117586.98,117484.9,117891.62,115580.02,398070000.0,0.4,,117111.66674556214,117058.61443072704,53.05231483510579,12.034617952775443,41.01769688233035,0.00399010721171833,,,,False,False,False
2025-01-06,116255.13,118309.5,118735.1,115941.95,369830000.0,-1.13,,116979.8918616295,116999.097065488,-19.205203858495224,5.7866535905213095,-24.991857449016532,-0.011326509108406269,,,,False,False,False
2025-01-07,116052.68,116667.55,116843.41,113677.5,401230000.0,-0.17,,116837.24388291728,116928.99209767408,-91.74821475679346,-13.720320078941644,-78.02789467785182,-0.0017414285287884468,,,,False,False,False
2025-01-08,114148.46,116591.08,117750.23,113847.04,254280000.0,-1.64,,116423.58482400692,116723.02675710562,-299.4419330986857,-70.86464268289046,-228.57729041579523,-0.01640823805189151,,,,False,False,False
2025-01-09,112638.26,114313.0,114329.95,112594.67,268880000.0,-1.32,,115841.22715877507,116420.45144176444,-579.2242829893657,-172.53657074418552,-406.68771224518025,-0.013230139066265245,,,,False,False,False
2025-01-10,113247.29,112544.62,113554.07,112013.59,216220000.0,0.54,,115442.15990357893,116185.4024460782,-743.2425424992689,-286.6777650952022,-456.5647774040667,0.0054069549724933275,,,,False,False,False
2025-01-13,114230.06,113715.5,114496.09,113083.86,198490000.0,0.87,,115255.682995336,116040.56226488722,-784.8792695512093,-386.31806598640367,-398.5612035648056,0.008678088455803312,,,,False,False,False
2025-01-14,114804.17,114541.46,115044.79,113836.61,258820000.0,0.5,,115186.219457592,115948.97765267336,-762.7581950813619,-461.6060918053953,-301.1521032759666,0.005025909992518507,,,,False,False,False
2025-01-15,114495.71,115360.64,115773.39,114298.29,263600000.00000003,-0.27,,115079.98723334708,115841.32819691976,-761.3409635726857,-521.5530661588534,-239.7878974138323,-0.0026868362011588376,,,,False,False,False
2025-01-16,113836.74,114800.98,114884.63,113630.45,176920000.0,-0.58,,114888.71842821676,115692.84018233312,-804.1217541163642,-578.0668037503556,-226.0549503660086,-0.00575541214600972,,,,False,False,False
